SourceFile,ShutterSpeed,Aperture,FocalLength,ISO,DateTimeOriginal,Model,Lens
thumbnails/100likes.jpg,0.004,5.6,225,3200,2012:09:02 11:28:42,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/alien.jpg,0.003125,5.6,171,2000,2012:08:30 21:01:53,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/cannibal.jpg,0.01666666667,3.2,50,500,2012:09:04 20:02:11,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/chinaman.jpg,0.003125,5.6,171,3200,2012:08:29 21:25:17,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/citylights1.jpg,0.01,5,79,800,2012:09:01 01:51:55,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/deviledegg.jpg,0.004,5.6,171,2500,2012:08:28 21:31:00,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/DSCN2311.jpg,0.004166666667,4.8,7.8,64,2005:10:02 13:04:22,E5900,E5900
thumbnails/eggscuseme.jpg,0.008,5.6,146,3200,2012:09:01 00:39:16,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/eyes2.jpg,0.002,3.5,37.8,80,2010:11:16 15:00:59,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/HazimCollague.jpg,0.005,5.6,109,800,2012:09:08 14:39:47,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/ifnotashoulder.jpg,0.005,5,123,1250,2012:08:27 22:34:15,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_0240.jpg,0.005,5.6,123,1000,2012:08:20 16:13:11,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_0251.jpg,0.008,5.6,79,400,2012:08:20 16:17:56,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_0293.jpg,0.01,2.7,6,80,2010:03:28 15:12:15,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_0296.jpg,0.004,8,179,1600,2012:08:20 16:25:16,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_0323.jpg,0.01666666667,2.2,50,1250,2012:09:08 18:16:22,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0335.jpg,0.004,2.2,50,100,2011:07:03 16:18:23,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0382.jpg,0.01,2.5,50,100,2011:07:03 16:40:06,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0420.jpg,0.0025,3.5,72,100,2010:04:03 12:16:53,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_0422.jpg,0.000625,2.5,50,100,2011:07:03 17:42:25,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0453.jpg,0.01666666667,3.2,50,800,2011:07:03 18:08:22,Canon EOS 550D,EF50mm f/1.8 II
