provider_id,hos_name,city_id,total_discharge,covered_charge,total_payment,medicare_payment
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1,5369,184735107,41640724,35736409
10005,MARSHALL MEDICAL CENTER SOUTH,2,2926,48378471,20961967,17748643
10006,ELIZA COFFEE MEMORIAL HOSPITAL,3,3932,132413971,28024176,23665842
10007,MIZELL MEMORIAL HOSPITAL,1649,433,4795359,1912109,1537641
10008,CRENSHAW COMMUNITY HOSPITAL,2011,147,1798321,899107,744563
10011,ST VINCENT'S EAST,4,2940,90196295,23840097,19551914
10012,DEKALB REGIONAL MEDICAL CENTER,1717,959,31429364,5426366,4416613
10016,SHELBY BAPTIST MEDICAL CENTER,5,2306,97091246,17847923,15106956
10019,HELEN KELLER MEMORIAL HOSPITAL,757,2062,43274140,14242955,12000493
10021,DALE MEDICAL CENTER,1813,464,6346239,3162441,2789086
10022,CHEROKEE MEDICAL CENTER,2012,177,3373730,1000813,828159
10023,BAPTIST MEDICAL CENTER SOUTH,6,3748,124908100,37491688,32847861
10024,JACKSON HOSPITAL & CLINIC INC,6,3408,102135987,26124241,22037773
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,1274,522,6377187,3493380,2950922
10027,ELBA GENERAL HOSPITAL,2267,11,95062,67200,54604
10029,EAST ALABAMA MEDICAL CENTER AND SNF,7,3728,61863339,31885616,27717205
10032,WEDOWEE HOSPITAL,1793,162,1882191,822716,704452
10033,UNIVERSITY OF ALABAMA HOSPITAL,4,6174,260507717,70021720,57829088
10034,COMMUNITY HOSPITAL INC,1814,363,4022679,2373369,2024614
10035,CULLMAN REGIONAL MEDICAL CENTER,8,2065,53335366,16276557,13987527
10036,ANDALUSIA REGIONAL HOSPITAL,1275,768,15449117,4681709,3807651
10038,STRINGFELLOW MEMORIAL HOSPITAL,11,1262,47322962,7340529,5827329
10039,HUNTSVILLE HOSPITAL,9,10251,474078248,103136624,87721238
10040,GADSDEN REGIONAL MEDICAL CENTER,10,3669,302803178,30144140,26021331
10043,CHILTON MEDICAL CENTER,2257,23,285100,152641,132205
10044,MARION REGIONAL MEDICAL CENTER,2013,227,3648232,1203501,979247
10045,FAYETTE MEDICAL CENTER,1276,448,7642340,2574795,2209127
10046,RIVERVIEW REGIONAL MEDICAL CENTER,10,2495,183042490,18564936,15670124
10047,GEORGIANA HOSPITAL,2193,219,1408895,1037518,832979
10049,MEDICAL CENTER ENTERPRISE,1277,1011,33298901,5425399,4305822
10050,ST VINCENTS BLOUNT,2014,178,3846370.001,952294,797574
10051,GREENE COUNTY HOSPITAL,2194,58,379281,290177,227571
10052,LAKE MARTIN COMMUNITY HOSPITAL,1953,240,1320744,1301324,1141095
10054,PARKWAY MEDICAL CENTER,12,873,32775910,5775253,4409864
10055,FLOWERS HOSPITAL,1,3522,157777573,25972761,21329707
10056,ST VINCENT'S BIRMINGHAM,4,4452,137618960,38896219,31504596
10058,BIBB MEDICAL CENTER,2268,28,240708,151518,128494
10059,LAWRENCE MEDICAL CENTER,1815,298,5636257,2114768,1825210
10061,HIGHLANDS MEDICAL CENTER,1278,1022,12929449,5254368,4288707
10062,WIREGRASS MEDICAL CENTER,1816,323,2959835,1920584,1644433
10065,RUSSELL HOSPITAL,1279,909,12192205,6735774,5880327
10069,MEDICAL CENTER BARBOUR,1718,416,5659697,2414876,2068951
10073,CLAY COUNTY HOSPITAL,2148,234,2253492,1155929,960525
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,11,3697,108548979,28078123,24258144
10079,ATHENS-LIMESTONE HOSPITAL,1280,1028,17288283,6853616,5883405
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1281,1564,70076352,8637189,7037382
10085,DECATUR GENERAL HOSPITAL,12,2784,34851443,20610582,17656651
10086,NORTHWEST MEDICAL CENTER,17,620,10710332,2888726,2321544
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,13,191,4081706,2526020,2304361
10089,WALKER BAPTIST MEDICAL CENTER,1282,1611,52356191,12994062,11276849
10090,PROVIDENCE HOSPITAL,13,3088,84374156,25723304,21252431
10091,GROVE HILL MEMORIAL HOSPITAL,2015,350,2985075,1479712,1191801
10092,D C H REGIONAL MEDICAL CENTER,14,8693,278262119,75443676,65661124
10095,HALE COUNTY HOSPITAL,2269,23,195388,134593,115061
10097,ELMORE COMMUNITY HOSPITAL,2270,326,1245812,1493786,1265471
10099,D W MCMILLAN MEMORIAL HOSPITAL,1651,599,5492987,2547165,2046293
10100,THOMAS HOSPITAL,15,1789,45817826,12934635,10642111
10101,CITIZENS BAPTIST MEDICAL CENTER,1283,523,9208829,3243555,2784335
10103,BAPTIST MEDICAL CENTER-PRINCETON,4,3175,159474249,28384952,24551516
10104,TRINITY MEDICAL CENTER,4,2947,196352153,25563922,21399710
10108,PRATTVILLE BAPTIST HOSPITAL,1284,508,10443636,2572121,2043662
10109,PICKENS COUNTY MEDICAL CENTER,2016,243,3861135,2158842,1959920
10110,BULLOCK COUNTY HOSPITAL,2195,50,539815.9999,226318,194070
10112,BRYAN W WHITFIELD MEM HOSP INC,1719,547,4100246,2202783,1714528
10113,MOBILE INFIRMARY,13,6461,171549792,52475123,43813878
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",1008,1271,40673127,9967466,8602409
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,758,1786,51556069,14852861,13220182
10120,MONROE COUNTY HOSPITAL,1652,297,3558446,1558990,1286148
10125,LAKELAND COMMUNITY HOSPITAL,1285,700,8778196,4082752,3453866
10126,TROY REGIONAL MEDICAL CENTER,2017,370,7544919,2501660,2144408
10128,JACKSON MEDICAL CENTER,2149,112,678379,458668,356823
10129,NORTH BALDWIN INFIRMARY,2018,197,2071728,1066441,851490
10130,ST VINCENT'S ST CLAIR,2019,319,6568286,1868760,1567459
10131,CRESTWOOD MEDICAL CENTER,9,2876,157421257,22774540,18529596
10138,HILL HOSPITAL OF SUMTER COUNTY,2271,114,793079.9999,557188,476399
10139,BROOKWOOD MEDICAL CENTER,4,3923,311440763,30192370,24626917
10144,SPRINGHILL MEDICAL CENTER,13,1605,37738372,11789919,9662055
10146,JACKSONVILLE MEDICAL CENTER,2020,384,7289725,1859648,1533188
10148,EVERGREEN MEDICAL CENTER,1286,688,5728094,3557513,2979481
10149,BAPTIST MEDICAL CENTER EAST,6,1425,36339092,9808820,8039121
10150,L V STABLER MEMORIAL HOSPITAL,2150,288,12292567,1784314,1501058
10152,INFIRMARY WEST,13,112,2656245,838055,706346.9999
10157,SHOALS HOSPITAL,1653,369,9147769.001,2039350,1692395
10158,RUSSELLVILLE HOSPITAL,1287,853,15186103,4666941,3929667
10164,COOSA VALLEY MEDICAL CENTER,1288,974,24106945,5448892,4552900
10168,JACK HUGHSTON MEMORIAL HOSPITAL,2196,790,30298033,9386891.999,8150586
10169,ATMORE COMMUNITY HOSPITAL,1654,416,9324260,2193953,1847645
20001,PROVIDENCE ALASKA MEDICAL CENTER,16,2719,142959285,37105170,32955944
20006,MAT-SU REGIONAL MEDICAL CENTER,1289,694,28709012,8103966,6846052
20008,BARTLETT REGIONAL HOSPITAL,2272,177,4215299,2198037,1995018
20012,FAIRBANKS MEMORIAL HOSPITAL,759,526,19527644,10392979,9427460.001
20017,ALASKA REGIONAL HOSPITAL,16,832,57309476,12768121,10338783
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,2151,92,660240,845606,757098
20024,CENTRAL PENINSULA GENERAL HOSPITAL,1290,294,11118602,4540600,4139614
20026,ALASKA NATIVE MEDICAL CENTER,16,724,23920900,12018422,11212586
20027,MT EDGECUMBE HOSPITAL,2351,33,418486,218375,187451
30001,MARYVALE HOSPITAL,20,210,5523697,2272387,2106888
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,20,3245,153796009,39417475,33946801
30006,TUCSON MEDICAL CENTER,17,4362,138757144,46199389,40678180
30007,VERDE VALLEY MEDICAL CENTER,18,1078,64494786,14957984,13484184
30010,CARONDELET ST  MARYS HOSPITAL,17,1624,61306270,16061606,14227776
30011,CARONDELET ST JOSEPH'S HOSPITAL,17,2746,107982728,24034649,20772499
30012,YAVAPAI REGIONAL MEDICAL CENTER,19,2424,84441388,24688355,21221158
30013,YUMA REGIONAL MEDICAL CENTER,760,4021,142247197,38908666,35041221
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,20,2277,102316260,22918728,20099855
30022,MARICOPA MEDICAL CENTER,20,160,9937688,3620624,3483765
30023,FLAGSTAFF MEDICAL CENTER,1009,2213,102071374,42922614,39600547
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,20,2284,125890543,32456799,27550427
30030,PHOENIX BAPTIST HOSPITAL,20,1351,61608769,18492186,16528233
30033,PAYSON REGIONAL MEDICAL CENTER,1720,616,33103998,5758662,5057069
30036,CHANDLER REGIONAL MEDICAL CENTER,1010,2528,132763950,24334976,20797461
30037,ST LUKES MEDICAL CENTER,20,547,33689077,6856318.001,6023070.001
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,25,2608,120739298,27355378,21731098
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,1721,1101,27205055,10539210,9385145.001
30055,KINGMAN REGIONAL MEDICAL CENTER,1291,2138,94331360,23360246,20658932
30061,BANNER BOSWELL MEDICAL CENTER,21,5532,220125785,44873437,38438183
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,22,538,19699232,7227025,6497354
30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",17,2318,114228597,35648510,32840081
30065,BANNER DESERT MEDICAL CENTER,23,3449,128453056,34936258,29659735
30067,LA PAZ REGIONAL HOSPITAL,2273,53,975456.0001,456076,399172
30068,MT GRAHAM REGIONAL MEDICAL CENTER,2152,192,4361699,2103004,1804961
30069,HAVASU REGIONAL MEDICAL CENTER,24,1960,86282937,17756517,15145460
30071,FORT DEFIANCE INDIAN HOSPITAL,2274,180,1481372,1252346,1093970
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,2275,190,2891359,2288058,2097940
30078,PHOENIX INDIAN MEDICAL CENTER,20,12,102617,117194,105730
30083,PARADISE VALLEY HOSPITAL,1018,372,12164126,3623482,3002009
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,2276,126,862842,799086,676411
30085,NORTHWEST MEDICAL CENTER,17,3342,152875684,27036912,22965244
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,25,3385,158463845,32385690,26014097
30088,BANNER BAYWOOD MEDICAL CENTER,23,5163,190783907,41854215,35660467
30089,BANNER THUNDERBIRD MEDICAL CENTER,761,3562,139595659,34924331,28733598
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,20,1586,70430082,14850115,12413240
30093,BANNER DEL E WEBB MEDICAL CENTER,762,4074,160876712,32261035,27631596
30094,ARROWHEAD HOSPITAL,761,1361,46990914,14017640,11997978
30100,CARONDELET HEART AND VASCULAR INSTITUTE,17,272,10405680,2229415,1948241
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,26,1987,169466166,17907598,15451622
30103,MAYO CLINIC HOSPITAL,20,3491,118132813,44958100,36491826
30105,BANNER HEART HOSPITAL,23,1516,71846157,13267116,11164300
30107,ARIZONA SPINE AND JOINT HOSPITAL,23,319,13806462,3790923.999,3438613.001
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,20,246,8432365,3297229,2945338
30110,WEST VALLEY HOSPITAL,1011,1365,41925611,12265426,10542260
30111,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",17,545,13515444,6075668,5605230
