provider_id,hos_name,state_city,city_id,total_discharge,covered_charge,total_payment,medicare_payment
10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL-DOTHAN,1,5369,184735107,41640724,35736409
10005,MARSHALL MEDICAL CENTER SOUTH,AL-BOAZ,2,2926,48378471,20961967,17748643
10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL-FLORENCE,3,3932,132413971,28024176,23665842
10007,MIZELL MEMORIAL HOSPITAL,AL-OPP,1649,433,4795359,1912109,1537641
10008,CRENSHAW COMMUNITY HOSPITAL,AL-LUVERNE,2011,147,1798321,899107,744563
10011,ST VINCENT'S EAST,AL-BIRMINGHAM,4,2940,90196295,23840097,19551914
10012,DEKALB REGIONAL MEDICAL CENTER,AL-FORT PAYNE,1717,959,31429364,5426366,4416613
10016,SHELBY BAPTIST MEDICAL CENTER,AL-ALABASTER,5,2306,97091246,17847923,15106956
10019,HELEN KELLER MEMORIAL HOSPITAL,AL-SHEFFIELD,757,2062,43274140,14242955,12000493
10021,DALE MEDICAL CENTER,AL-OZARK,1813,464,6346239,3162441,2789086
10022,CHEROKEE MEDICAL CENTER,AL-CENTRE,2012,177,3373730,1000813,828159
10023,BAPTIST MEDICAL CENTER SOUTH,AL-MONTGOMERY,6,3748,124908100,37491688,32847861
10024,JACKSON HOSPITAL & CLINIC INC,AL-MONTGOMERY,6,3408,102135987,26124241,22037773
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,AL-VALLEY,1274,522,6377187,3493380,2950922
10027,ELBA GENERAL HOSPITAL,AL-ELBA,2267,11,95062,67200,54604
10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL-OPELIKA,7,3728,61863339,31885616,27717205
10032,WEDOWEE HOSPITAL,AL-WEDOWEE,1793,162,1882191,822716,704452
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL-BIRMINGHAM,4,6174,260507717,70021720,57829088
10034,COMMUNITY HOSPITAL INC,AL-TALLASSEE,1814,363,4022679,2373369,2024614
10035,CULLMAN REGIONAL MEDICAL CENTER,AL-CULLMAN,8,2065,53335366,16276557,13987527
10036,ANDALUSIA REGIONAL HOSPITAL,AL-ANDALUSIA,1275,768,15449117,4681709,3807651
10038,STRINGFELLOW MEMORIAL HOSPITAL,AL-ANNISTON,11,1262,47322962,7340529,5827329
10039,HUNTSVILLE HOSPITAL,AL-HUNTSVILLE,9,10251,474078248,103136624,87721238
10040,GADSDEN REGIONAL MEDICAL CENTER,AL-GADSDEN,10,3669,302803178,30144140,26021331
10043,CHILTON MEDICAL CENTER,AL-CLANTON,2257,23,285100,152641,132205
10044,MARION REGIONAL MEDICAL CENTER,AL-HAMILTON,2013,227,3648232,1203501,979247
10045,FAYETTE MEDICAL CENTER,AL-FAYETTE,1276,448,7642340,2574795,2209127
10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL-GADSDEN,10,2495,183042490,18564936,15670124
10047,GEORGIANA HOSPITAL,AL-GEORGIANA,2193,219,1408895,1037518,832979
10049,MEDICAL CENTER ENTERPRISE,AL-ENTERPRISE,1277,1011,33298901,5425399,4305822
10050,ST VINCENTS BLOUNT,AL-ONEONTA,2014,178,3846370.001,952294,797574
10051,GREENE COUNTY HOSPITAL,AL-EUTAW,2194,58,379281,290177,227571
10052,LAKE MARTIN COMMUNITY HOSPITAL,AL-DADEVILLE,1953,240,1320744,1301324,1141095
10054,PARKWAY MEDICAL CENTER,AL-DECATUR,12,873,32775910,5775253,4409864
10055,FLOWERS HOSPITAL,AL-DOTHAN,1,3522,157777573,25972761,21329707
10056,ST VINCENT'S BIRMINGHAM,AL-BIRMINGHAM,4,4452,137618960,38896219,31504596
10058,BIBB MEDICAL CENTER,AL-CENTREVILLE,2268,28,240708,151518,128494
10059,LAWRENCE MEDICAL CENTER,AL-MOULTON,1815,298,5636257,2114768,1825210
10061,HIGHLANDS MEDICAL CENTER,AL-SCOTTSBORO,1278,1022,12929449,5254368,4288707
10062,WIREGRASS MEDICAL CENTER,AL-GENEVA,1816,323,2959835,1920584,1644433
10065,RUSSELL HOSPITAL,AL-ALEXANDER CITY,1279,909,12192205,6735774,5880327
10069,MEDICAL CENTER BARBOUR,AL-EUFAULA,1718,416,5659697,2414876,2068951
10073,CLAY COUNTY HOSPITAL,AL-ASHLAND,2148,234,2253492,1155929,960525
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,AL-ANNISTON,11,3697,108548979,28078123,24258144
10079,ATHENS-LIMESTONE HOSPITAL,AL-ATHENS,1280,1028,17288283,6853616,5883405
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL-FOLEY,1281,1564,70076352,8637189,7037382
10085,DECATUR GENERAL HOSPITAL,AL-DECATUR,12,2784,34851443,20610582,17656651
10086,NORTHWEST MEDICAL CENTER,AL-WINFIELD,1650,620,10710332,2888726,2321544
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,AL-MOBILE,13,191,4081706,2526020,2304361
10089,WALKER BAPTIST MEDICAL CENTER,AL-JASPER,1282,1611,52356191,12994062,11276849
10090,PROVIDENCE HOSPITAL,AL-MOBILE,13,3088,84374156,25723304,21252431
10091,GROVE HILL MEMORIAL HOSPITAL,AL-GROVE HILL,2015,350,2985075,1479712,1191801
10092,D C H REGIONAL MEDICAL CENTER,AL-TUSCALOOSA,14,8693,278262119,75443676,65661124
10095,HALE COUNTY HOSPITAL,AL-GREENSBORO,2269,23,195388,134593,115061
10097,ELMORE COMMUNITY HOSPITAL,AL-WETUMPKA,2270,326,1245812,1493786,1265471
10099,D W MCMILLAN MEMORIAL HOSPITAL,AL-BREWTON,1651,599,5492987,2547165,2046293
10100,THOMAS HOSPITAL,AL-FAIRHOPE,15,1789,45817826,12934635,10642111
10101,CITIZENS BAPTIST MEDICAL CENTER,AL-TALLADEGA,1283,523,9208829,3243555,2784335
10103,BAPTIST MEDICAL CENTER-PRINCETON,AL-BIRMINGHAM,4,3175,159474249,28384952,24551516
10104,TRINITY MEDICAL CENTER,AL-BIRMINGHAM,4,2947,196352153,25563922,21399710
10108,PRATTVILLE BAPTIST HOSPITAL,AL-PRATTVILLE,1284,508,10443636,2572121,2043662
10109,PICKENS COUNTY MEDICAL CENTER,AL-CARROLLTON,2016,243,3861135,2158842,1959920
10110,BULLOCK COUNTY HOSPITAL,AL-UNION SPRINGS,2195,50,539815.9999,226318,194070
10112,BRYAN W WHITFIELD MEM HOSP INC,AL-DEMOPOLIS,1719,547,4100246,2202783,1714528
10113,MOBILE INFIRMARY,AL-MOBILE,13,6461,171549792,52475123,43813878
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL-BESSEMER,1008,1271,40673127,9967466,8602409
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,AL-SELMA,758,1786,51556069,14852861,13220182
10120,MONROE COUNTY HOSPITAL,AL-MONROEVILLE,1652,297,3558446,1558990,1286148
10125,LAKELAND COMMUNITY HOSPITAL,AL-HALEYVILLE,1285,700,8778196,4082752,3453866
10126,TROY REGIONAL MEDICAL CENTER,AL-TROY,2017,370,7544919,2501660,2144408
10128,JACKSON MEDICAL CENTER,AL-JACKSON,2149,112,678379,458668,356823
10129,NORTH BALDWIN INFIRMARY,AL-BAY MINETTE,2018,197,2071728,1066441,851490
10130,ST VINCENT'S ST CLAIR,AL-PELL CITY,2019,319,6568286,1868760,1567459
10131,CRESTWOOD MEDICAL CENTER,AL-HUNTSVILLE,9,2876,157421257,22774540,18529596
10138,HILL HOSPITAL OF SUMTER COUNTY,AL-YORK,2271,114,793079.9999,557188,476399
10139,BROOKWOOD MEDICAL CENTER,AL-BIRMINGHAM,4,3923,311440763,30192370,24626917
10144,SPRINGHILL MEDICAL CENTER,AL-MOBILE,13,1605,37738372,11789919,9662055
10146,JACKSONVILLE MEDICAL CENTER,AL-JACKSONVILLE,2020,384,7289725,1859648,1533188
10148,EVERGREEN MEDICAL CENTER,AL-EVERGREEN,1286,688,5728094,3557513,2979481
10149,BAPTIST MEDICAL CENTER EAST,AL-MONTGOMERY,6,1425,36339092,9808820,8039121
10150,L V STABLER MEMORIAL HOSPITAL,AL-GREENVILLE,2150,288,12292567,1784314,1501058
10152,INFIRMARY WEST,AL-MOBILE,13,112,2656245,838055,706346.9999
10157,SHOALS HOSPITAL,AL-MUSCLE SHOALS,1653,369,9147769.001,2039350,1692395
10158,RUSSELLVILLE HOSPITAL,AL-RUSSELLVILLE,1287,853,15186103,4666941,3929667
10164,COOSA VALLEY MEDICAL CENTER,AL-SYLACAUGA,1288,974,24106945,5448892,4552900
10168,JACK HUGHSTON MEMORIAL HOSPITAL,AL-PHENIX CITY,2196,790,30298033,9386891.999,8150586
10169,ATMORE COMMUNITY HOSPITAL,AL-ATMORE,1654,416,9324260,2193953,1847645
