,State,Total_Payments,Total_Discharge,Total_Payments_per_Discharge,Region
1,AK,88191276,6091,14478.95,West
2,AZ,982900980,95664,10274.51,West
3,CA,5948180896,459424,12947.04,West
4,CO,592168725,58293,10158.49,West
5,HI,156303709,11715,13342.19,West
6,ID,198156577,18154,10915.31,West
7,MT,148515800,14988,9908.98,West
8,NM,266301112,25995,10244.32,West
9,NV,423169747,40543,10437.55,West
10,OR,462810578,41650,11111.90,West
11,UT,262655082,23884,10997.11,West
12,WA,1136370378,104134,10912.58,West
13,WY,81678814,6840,11941.35,West
14,IA,595762138,65131,9147.14,Midwest
15,IL,3276460079,347016,9441.81,Midwest
16,IN,1571671296,177650,8847.01,Midwest
17,KS,544217080,59571,9135.60,Midwest
18,MI,2823368821,283672,9952.93,Midwest
19,MN,998485375,94517,10564.08,Midwest
20,MO,1482655520,163946,9043.56,Midwest
21,ND,173296158,16739,10352.84,Midwest
22,NE,359275843,36984,9714.36,Midwest
23,OH,2473349741,281141,8797.54,Midwest
24,SD,208128874,19623,10606.37,Midwest
25,WI,962424388,98882,9733.06,Midwest
26,AL,1077141600,135508,7948.92,South
27,AR,685812046,85531,8018.29,South
28,DC,275725455,21371,12901.85,South
29,DE,279508857,26718,10461.44,South
30,FL,4385698482,512716,8553.86,South
31,GA,1673992385,180048,9297.48,South
32,KY,1238636304,146541,8452.49,South
33,LA,893364811,106003,8427.73,South
34,MD,2026550563,164454,12322.90,South
35,MS,735119657,89708,8194.58,South
36,NC,2384307549,248058,9611.90,South
37,OK,819345809,93190,8792.21,South
38,SC,1090393919,116718,9342.12,South
39,TN,1527053803,176987,8628.06,South
40,TX,4373415482,463180,9442.15,South
41,VA,1726935056,189489,9113.64,South
42,WV,512641959,62052,8261.49,South
43,CT,1033640019,91614,11282.56,Northeast
44,MA,2049104356,181831,11269.28,Northeast
45,ME,280632672,29506,9511.04,Northeast
46,NH,270093930,27521,9814.10,Northeast
47,NJ,2342244068,232026,10094.75,Northeast
48,NY,4910503271,404049,12153.24,Northeast
49,PA,2782359435,295629,9411.66,Northeast
50,RI,211366275,20111,10509.98,Northeast
51,VT,122077420,10159,12016.68,Northeast
